epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46112,2.36497,3.96977,3.19283,0,0,0,0,1.84515,4.12626,2.99535,0,0,0
2,3.13817,2.30642,3.98186,3.05368,0,0,0,0,1.83802,4.13393,2.99601,1.6505e-05,1.6505e-05,1.6505e-05
3,5.15496,2.50466,3.96599,3.014,0,0,0,0,1.83424,4.13563,3.00624,3.26799e-05,3.26799e-05,3.26799e-05
4,6.98916,2.29874,3.93947,3.18419,0,0,0,0,1.82958,4.13689,3.01541,4.85247e-05,4.85247e-05,4.85247e-05
5,8.87484,2.33998,4.07342,3.44109,0,0,0,0,1.81476,4.14124,3.01186,6.40395e-05,6.40395e-05,6.40395e-05
6,10.6583,2.27491,4.01812,2.91061,0,0,0,0,1.80089,4.14724,3.02438,7.92242e-05,7.92242e-05,7.92242e-05
7,12.3215,2.35478,4.05776,2.79516,0,0,0,0,1.79187,4.14923,3.01665,9.40788e-05,9.40788e-05,9.40788e-05
8,13.866,2.27157,3.95542,2.96884,0,0,0,0,1.69543,4.01797,2.78786,0.000108603,0.000108603,0.000108603
9,15.5989,2.02703,3.82848,3.04703,0.00217,0.03846,0.00118,0.00041,1.61097,3.83275,2.5485,0.000122798,0.000122798,0.000122798
10,17.3751,1.94284,3.7765,2.48557,0.0063,0.14615,0.00388,0.00158,1.53435,3.70034,2.37821,0.000136662,0.000136662,0.000136662
11,19.5126,1.88036,3.69042,2.43118,0.01543,0.35769,0.01688,0.00697,1.4717,3.48037,2.21012,0.000150197,0.000150197,0.000150197
12,21.3878,1.6951,3.39738,2.44187,0.02952,0.73462,0.0429,0.01609,1.45168,3.26219,2.11969,0.000163401,0.000163401,0.000163401
13,23.0441,1.79952,3.32245,2.12935,0.03764,0.88077,0.07724,0.03124,1.4545,3.02274,2.13741,0.000176275,0.000176275,0.000176275
14,24.9458,1.9747,3.28644,1.94994,0.04152,0.95,0.12588,0.05328,1.4019,2.77166,2.11216,0.000188819,0.000188819,0.000188819
15,26.9635,1.60268,2.92726,2.05519,0.12976,0.26923,0.16794,0.07917,1.39207,2.50484,2.08688,0.000201034,0.000201034,0.000201034
16,28.6223,1.70146,2.77289,2.2001,0.19521,0.30769,0.24564,0.12346,1.36208,2.27406,2.05672,0.000212918,0.000212918,0.000212918
17,30.3336,1.49246,2.52531,2.02107,0.23697,0.34615,0.28147,0.13603,1.40398,2.21077,2.14486,0.000224472,0.000224472,0.000224472
18,32.0321,1.57476,2.43707,1.75018,0.23697,0.34615,0.28147,0.13603,1.40398,2.21077,2.14486,0.000235695,0.000235695,0.000235695
19,34.076,1.56852,2.29163,1.99516,0.42356,0.61991,0.37039,0.17184,1.43215,2.0874,2.16888,0.000246589,0.000246589,0.000246589
20,35.9883,1.54424,2.15817,1.91576,0.42356,0.61991,0.37039,0.17184,1.43215,2.0874,2.16888,0.000257153,0.000257153,0.000257153
21,37.6143,1.24244,2.01918,1.94258,0.43273,0.52771,0.4447,0.22983,1.33243,1.98207,2.0393,0.000267387,0.000267387,0.000267387
22,39.2721,1.23894,1.73204,1.8284,0.43273,0.52771,0.4447,0.22983,1.33243,1.98207,2.0393,0.00027729,0.00027729,0.00027729
23,40.9113,1.18088,1.72013,1.9521,0.583,0.45,0.50138,0.29278,1.26331,1.9731,2.0229,0.000286864,0.000286864,0.000286864
24,42.5865,1.32469,1.9377,1.66267,0.583,0.45,0.50138,0.29278,1.26331,1.9731,2.0229,0.000296108,0.000296108,0.000296108
25,44.2595,1.40794,1.95635,1.77765,0.65666,0.46154,0.56199,0.32083,1.17595,1.97295,1.95813,0.000305021,0.000305021,0.000305021
26,45.9048,1.39489,1.88282,1.9009,0.65666,0.46154,0.56199,0.32083,1.17595,1.97295,1.95813,0.000313604,0.000313604,0.000313604
27,47.5397,1.45467,1.94887,1.74243,0.57509,0.51356,0.58222,0.36033,1.11916,2.01199,1.8958,0.000321858,0.000321858,0.000321858
28,49.6285,1.15405,1.55531,1.92207,0.57509,0.51356,0.58222,0.36033,1.11916,2.01199,1.8958,0.000329781,0.000329781,0.000329781
29,51.2737,1.1456,1.64627,1.75089,0.60526,0.64615,0.62032,0.39077,1.1788,2.02605,1.86468,0.000337374,0.000337374,0.000337374
30,52.9495,1.24038,1.70113,1.98957,0.60526,0.64615,0.62032,0.39077,1.1788,2.02605,1.86468,0.000344637,0.000344637,0.000344637
31,54.6414,1.27581,1.64309,1.79767,0.67025,0.64048,0.64761,0.39282,1.20748,1.99378,1.85346,0.00035157,0.00035157,0.00035157
32,56.3368,1.24163,1.66717,1.66453,0.67025,0.64048,0.64761,0.39282,1.20748,1.99378,1.85346,0.000358173,0.000358173,0.000358173
33,58.09,1.16889,1.48812,1.73344,0.65018,0.69148,0.7059,0.43397,1.10702,1.84929,1.77744,0.000364446,0.000364446,0.000364446
34,59.8589,1.24643,1.67066,1.76814,0.65018,0.69148,0.7059,0.43397,1.10702,1.84929,1.77744,0.000370389,0.000370389,0.000370389
35,61.656,1.23014,1.72232,1.59145,0.71074,0.78894,0.77876,0.5017,1.00111,1.60236,1.69907,0.000376002,0.000376002,0.000376002
36,63.5625,1.10155,1.39962,1.66175,0.71074,0.78894,0.77876,0.5017,1.00111,1.60236,1.69907,0.000381285,0.000381285,0.000381285
37,65.5669,1.23848,1.50827,1.83799,0.72116,0.78533,0.79829,0.55427,0.99194,1.62146,1.68317,0.000386237,0.000386237,0.000386237
38,67.4723,1.10721,1.50263,1.64251,0.72116,0.78533,0.79829,0.55427,0.99194,1.62146,1.68317,0.00039086,0.00039086,0.00039086
39,69.1703,1.13837,1.33671,1.69984,0.70296,0.78807,0.79214,0.52073,1.05646,1.54435,1.66047,0.000395152,0.000395152,0.000395152
40,70.6824,0.96936,1.19893,1.66471,0.70296,0.78807,0.79214,0.52073,1.05646,1.54435,1.66047,0.000399115,0.000399115,0.000399115
41,72.2119,1.05808,1.41906,1.81952,0.77274,0.7,0.77323,0.47011,1.15713,1.671,1.72419,0.000402747,0.000402747,0.000402747
42,73.7971,1.15971,1.35786,1.753,0.77274,0.7,0.77323,0.47011,1.15713,1.671,1.72419,0.00040605,0.00040605,0.00040605
43,75.3164,0.96464,1.25859,1.94982,0.86141,0.64231,0.77216,0.4858,1.14686,1.72937,1.7257,0.000409022,0.000409022,0.000409022
44,76.9033,1.08285,1.33427,1.75299,0.86141,0.64231,0.77216,0.4858,1.14686,1.72937,1.7257,0.000411664,0.000411664,0.000411664
45,78.3743,0.99884,1.17895,1.74028,0.78876,0.80212,0.83646,0.51875,1.05547,1.56147,1.65787,0.000413976,0.000413976,0.000413976
46,79.8765,1.21513,1.49298,1.82936,0.78876,0.80212,0.83646,0.51875,1.05547,1.56147,1.65787,0.000415958,0.000415958,0.000415958
47,81.3996,0.94686,1.14212,1.7761,0.83083,0.75889,0.85131,0.56459,1.04091,1.45955,1.64843,0.00041761,0.00041761,0.00041761
48,83.0956,1.07982,1.17557,1.68801,0.83083,0.75889,0.85131,0.56459,1.04091,1.45955,1.64843,0.000418932,0.000418932,0.000418932
49,84.8073,0.98998,1.15437,1.62195,0.74125,0.87308,0.86157,0.56783,1.05968,1.29553,1.63583,0.000419924,0.000419924,0.000419924
50,86.4627,1.00392,1.04792,1.73582,0.74125,0.87308,0.86157,0.56783,1.05968,1.29553,1.63583,0.000420586,0.000420586,0.000420586
51,88.1047,0.99695,1.14697,1.99551,0.91321,0.75901,0.89075,0.54429,1.16687,1.19958,1.69955,0.000420918,0.000420918,0.000420918
52,89.651,0.90651,0.96019,1.8458,0.91321,0.75901,0.89075,0.54429,1.16687,1.19958,1.69955,0.000420919,0.000420919,0.000420919
53,91.1618,1.04781,1.07844,1.61688,0.91321,0.75901,0.89075,0.54429,1.16687,1.19958,1.69955,0.000420591,0.000420591,0.000420591
54,92.6097,0.85842,0.94057,1.87315,0.94955,0.7941,0.90657,0.5371,1.22036,1.10389,1.73234,0.000419932,0.000419932,0.000419932
55,94.0766,0.92565,0.88947,1.65585,0.94955,0.7941,0.90657,0.5371,1.22036,1.10389,1.73234,0.000418944,0.000418944,0.000418944
56,95.5742,0.95385,0.97014,1.57913,0.94955,0.7941,0.90657,0.5371,1.22036,1.10389,1.73234,0.000417625,0.000417625,0.000417625
57,97.1045,0.90406,0.94537,1.71313,0.91508,0.78462,0.91311,0.5664,1.09246,0.97852,1.65965,0.000415977,0.000415977,0.000415977
58,98.7654,1.02471,1.07688,1.86739,0.91508,0.78462,0.91311,0.5664,1.09246,0.97852,1.65965,0.000413998,0.000413998,0.000413998
59,100.35,0.93176,0.9176,1.76033,0.91508,0.78462,0.91311,0.5664,1.09246,0.97852,1.65965,0.000411689,0.000411689,0.000411689
60,102.084,0.86302,0.79204,1.62956,0.8138,0.88918,0.92558,0.61719,0.96177,0.91333,1.60522,0.00040905,0.00040905,0.00040905
61,103.755,0.90877,0.86851,1.57913,0.8138,0.88918,0.92558,0.61719,0.96177,0.91333,1.60522,0.000406081,0.000406081,0.000406081
62,105.368,0.9904,1.03225,1.68434,0.8138,0.88918,0.92558,0.61719,0.96177,0.91333,1.60522,0.000402782,0.000402782,0.000402782
63,106.974,0.93128,0.88154,1.53217,0.84096,0.89231,0.93344,0.64547,0.91638,0.85465,1.57087,0.000399153,0.000399153,0.000399153
64,108.635,1.03295,1.10136,1.91092,0.84096,0.89231,0.93344,0.64547,0.91638,0.85465,1.57087,0.000395194,0.000395194,0.000395194
65,110.532,0.86185,0.86791,1.86736,0.84096,0.89231,0.93344,0.64547,0.91638,0.85465,1.57087,0.000390905,0.000390905,0.000390905
66,112.305,1.00661,1.11883,1.92629,0.86226,0.89013,0.9304,0.63383,0.92074,0.8287,1.5587,0.000386286,0.000386286,0.000386286
67,113.819,0.96927,0.93933,1.70945,0.86226,0.89013,0.9304,0.63383,0.92074,0.8287,1.5587,0.000381336,0.000381336,0.000381336
68,115.411,0.90569,0.83747,1.69753,0.86226,0.89013,0.9304,0.63383,0.92074,0.8287,1.5587,0.000376057,0.000376057,0.000376057
69,117.227,0.89234,0.83819,1.5597,0.87259,0.85844,0.94254,0.66814,0.87832,0.79803,1.54185,0.000370447,0.000370447,0.000370447
70,118.819,0.9295,0.89948,1.6979,0.87259,0.85844,0.94254,0.66814,0.87832,0.79803,1.54185,0.000364508,0.000364508,0.000364508
71,120.442,0.8393,0.79182,1.60986,0.87259,0.85844,0.94254,0.66814,0.87832,0.79803,1.54185,0.000358238,0.000358238,0.000358238
72,122.104,0.84962,0.79962,1.60544,0.82462,0.90293,0.93737,0.71142,0.83656,0.79958,1.5398,0.000351639,0.000351639,0.000351639
73,123.717,0.832,0.77526,1.44024,0.82462,0.90293,0.93737,0.71142,0.83656,0.79958,1.5398,0.000344709,0.000344709,0.000344709
74,125.29,0.82636,0.73242,1.68245,0.82462,0.90293,0.93737,0.71142,0.83656,0.79958,1.5398,0.000337449,0.000337449,0.000337449
75,126.811,0.91304,0.90266,2.00493,0.80684,0.91154,0.92953,0.7207,0.82833,0.79674,1.55073,0.000329859,0.000329859,0.000329859
76,128.5,0.77641,0.6968,1.7122,0.80684,0.91154,0.92953,0.7207,0.82833,0.79674,1.55073,0.000321939,0.000321939,0.000321939
77,130.493,0.89963,0.7997,1.55558,0.80684,0.91154,0.92953,0.7207,0.82833,0.79674,1.55073,0.000313689,0.000313689,0.000313689
78,132.384,0.84959,0.7767,1.75306,0.85016,0.90422,0.94332,0.70172,0.85701,0.80136,1.56584,0.000305109,0.000305109,0.000305109
79,134.121,0.78224,0.72397,1.90974,0.85016,0.90422,0.94332,0.70172,0.85701,0.80136,1.56584,0.000296199,0.000296199,0.000296199
80,135.55,0.8662,0.80356,1.73972,0.85016,0.90422,0.94332,0.70172,0.85701,0.80136,1.56584,0.000286959,0.000286959,0.000286959
81,137.02,0.89085,0.78817,1.68937,0.89793,0.86163,0.94125,0.67069,0.89101,0.83659,1.57551,0.000277389,0.000277389,0.000277389
82,138.593,0.69335,0.72631,1.66081,0.89793,0.86163,0.94125,0.67069,0.89101,0.83659,1.57551,0.000267488,0.000267488,0.000267488
83,140.135,0.76602,0.69685,1.76563,0.89793,0.86163,0.94125,0.67069,0.89101,0.83659,1.57551,0.000257258,0.000257258,0.000257258
84,141.762,0.89869,0.81465,1.6259,0.86999,0.87308,0.92755,0.67145,0.9197,0.88926,1.59063,0.000246698,0.000246698,0.000246698
85,143.37,0.71975,0.68325,1.66188,0.86999,0.87308,0.92755,0.67145,0.9197,0.88926,1.59063,0.000235807,0.000235807,0.000235807
86,144.946,0.88423,0.81202,1.68714,0.86999,0.87308,0.92755,0.67145,0.9197,0.88926,1.59063,0.000224587,0.000224587,0.000224587
87,146.509,0.84766,0.79662,1.69233,0.86999,0.87308,0.92755,0.67145,0.9197,0.88926,1.59063,0.000213036,0.000213036,0.000213036
88,148.112,0.9025,0.80161,1.58845,0.88178,0.85412,0.92453,0.65345,0.92376,0.88383,1.60704,0.000201155,0.000201155,0.000201155
89,149.518,0.76125,0.67335,1.66828,0.88178,0.85412,0.92453,0.65345,0.92376,0.88383,1.60704,0.000188944,0.000188944,0.000188944
90,150.921,0.78712,0.81954,1.71601,0.88178,0.85412,0.92453,0.65345,0.92376,0.88383,1.60704,0.000176404,0.000176404,0.000176404
91,152.841,0.71469,0.66281,1.66104,0.88178,0.85412,0.92453,0.65345,0.92376,0.88383,1.60704,0.000163533,0.000163533,0.000163533
92,154.912,0.77999,0.70804,1.79912,0.90469,0.85097,0.92588,0.65336,0.92343,0.89425,1.60542,0.000150332,0.000150332,0.000150332
93,156.923,0.80395,0.80063,1.7895,0.90469,0.85097,0.92588,0.65336,0.92343,0.89425,1.60542,0.000136801,0.000136801,0.000136801
94,159.01,0.80568,0.80909,1.60882,0.90469,0.85097,0.92588,0.65336,0.92343,0.89425,1.60542,0.00012294,0.00012294,0.00012294
95,160.9,0.70794,0.67209,1.69376,0.90469,0.85097,0.92588,0.65336,0.92343,0.89425,1.60542,0.000108748,0.000108748,0.000108748
96,162.742,0.71631,0.6646,1.6839,0.90887,0.84855,0.92521,0.65978,0.93106,0.92063,1.6084,9.42272e-05,9.42272e-05,9.42272e-05
97,164.475,0.67864,0.61362,1.61564,0.90887,0.84855,0.92521,0.65978,0.93106,0.92063,1.6084,7.93759e-05,7.93759e-05,7.93759e-05
98,165.866,0.66021,0.62708,1.83305,0.90887,0.84855,0.92521,0.65978,0.93106,0.92063,1.6084,6.41945e-05,6.41945e-05,6.41945e-05
99,167.203,0.67911,0.63615,1.68401,0.90887,0.84855,0.92521,0.65978,0.93106,0.92063,1.6084,4.86831e-05,4.86831e-05,4.86831e-05
100,168.784,0.75899,0.66099,1.6892,0.91944,0.8493,0.918,0.65743,0.93211,0.91258,1.60715,3.28416e-05,3.28416e-05,3.28416e-05
